State,District,Latitude,Longitude,District code,Population,sex_ratio,litercy_rate
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,91.0,59.0
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,92.0,58.0
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,91.0,46.0
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,94.0,52.0
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,102.0,54.0
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,92.0,49.0
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,92.0,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,92.0,42.0
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,89.0,46.0
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,95.0,44.0
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,90.0,51.0
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,91.0,42.0
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,93.0,48.0
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,88.0,59.0
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,90.0,52.0
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,92.0,53.0
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,94.0,49.0
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,91.0,45.0
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,90.0,59.0
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,90.0,45.0
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,92.0,41.0
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,92.0,61.0
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,91.0,42.0
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,91.0,50.0
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,95.0,55.0
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,93.0,52.0
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,89.0,43.0
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,90.0,42.0
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,99.0,58.0
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,93.0,46.0
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,89.0,55.0
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,82.0,76.0
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,102.0,46.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,98.0,75.0
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,97.0,60.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,98.0,75.0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,97.0,60.0
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,101.0,68.0
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,99.0,69.0
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,101.0,58.0
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,97.0,62.0
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,97.0,60.0
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,102.0,62.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,99.0,64.0
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,96.0,74.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,99.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,96.0,74.0
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,98.0,65.0
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,98.0,50.0
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,53.0,79.0
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,95.0,67.0
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,95.0,67.0
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,96.0,81.0
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,99.0,78.0
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,90.0,75.0
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,96.0,66.0
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,92.0,74.0
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,94.0,55.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,93.0,72.0
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,93.0,66.0
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,92.0,74.0
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,94.0,65.0
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,91.0,60.0
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,94.0,72.0
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,93.0,74.0
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,96.0,63.0
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,96.0,75.0
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,95.0,60.0
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,94.0,62.0
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,95.0,67.0
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,93.0,72.0
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,95.0,65.0
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,79.0,75.0
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,93.0,62.0
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,101.0,62.0
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,93.0,69.0
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,92.0,69.0
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,88.0,72.0
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,89.0,65.0
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,87.0,70.0
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,90.0,59.0
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,85.0,73.0
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,87.0,64.0
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,86.0,71.0
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,87.0,62.0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,88.0,60.0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,89.0,65.0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,89.0,67.0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,89.0,68.0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,87.0,72.0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,86.0,65.0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,90.0,71.0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,87.0,70.0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,90.0,60.0
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,99.0,62.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,110.0,79.0
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,86.0,59.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,28,454768,110.0,79.0
Uttar Pradesh,Hamirpur,25.738158381502892,79.82619479768789,168,1104285,86.0,59.0
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,101.0,76.0
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,82.0,72.0
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,94.0,70.0
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,101.0,72.0
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,92.0,75.0
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,92.0,68.0
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,88.0,74.0
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,98.0,77.0
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,92.0,53.0
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,88.0,74.0
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,81.0,61.0
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,89.0,63.0
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,91.0,52.0
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,89.0,55.0
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,90.0,61.0
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,87.0,58.0
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,92.0,62.0
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,95.0,49.0
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,93.0,53.0
Jharkhand,Dhanbad,23.854509090909097,86.40372924901185,354,2684487,91.0,64.0
Jharkhand,Dumka,24.275006125574265,87.27662450229711,362,1321442,98.0,51.0
Jharkhand,Garhwa,24.082114689265527,83.68664265536722,346,1322784,94.0,49.0
Jharkhand,Giridih,24.30578509874329,86.08710915619386,349,2445474,94.0,51.0
Jharkhand,Godda,24.8189,87.2941735483871,351,1313551,94.0,46.0
Jharkhand,Gumla,23.078532948929148,84.55056787479396,366,1025213,99.0,55.0
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,363,791042,95.0,54.0
Jharkhand,Latehar,23.72511185840708,84.48298743362837,359,726978,97.0,48.0
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,99.0,56.0
Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,99.0,39.0
Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,93.0,53.0
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,95.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,95.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,100.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,99.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,95.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,97.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,98.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,96.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,98.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,96.0,57.0
Karnataka,Chikmagalur,13.425288289676422,75.67626502311249,570,1137961,101.0,72.0
Karnataka,Chitradurga,14.29102220394736,76.57821957236843,566,1659456,97.0,66.0
Karnataka,Davanagere,14.330414586709884,75.91723841166937,567,1945497,97.0,67.0
Karnataka,Dharwad,15.343831376975173,75.13831264108359,562,1847023,97.0,70.0
Karnataka,Gadag,15.507128256880746,75.64861302752298,561,1064570,98.0,66.0
Karnataka,Gulbarga,17.070459515951594,76.87503850385033,579,2566326,97.0,56.0
Karnataka,Hassan,12.945098749999998,76.11049549999997,574,1776421,101.0,69.0
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,95.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,102.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,98.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,99.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,99.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,98.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,109.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,110.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,103.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,101.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,114.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,108.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,111.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,104.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,110.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,110.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,107.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,109.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,111.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,103.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,98.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,90.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,102.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,98.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,97.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,84.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,92.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,95.0,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,88.0,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,96.0,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,91.0,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,87.0,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,94.0,59.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,96.0,49.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,100.0,54.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,91.0,53.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,86.0,67.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,93.0,62.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,91.0,65.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,93.0,70.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,93.0,71.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,99.0,34.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,95.0,61.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,101.0,57.0
